#         t          x          y          z         vx         vy         vz
      0.071     -1.820      3.160     -1.470     -0.300      6.860     -0.790
      0.071     -1.820      3.160     -1.470     -0.300      6.860     -0.790
      0.071     -1.820      3.160     -1.470     -0.300      6.860     -0.790
      0.071     -1.820      3.160     -1.470     -0.300      6.860     -0.790
      0.071     -1.820      3.160     -1.470     -0.300      6.860     -0.790
      0.071     -1.820      3.160     -1.470     -0.300      6.860     -0.790
      0.071     -1.820      3.160     -1.470     -0.300      6.860     -0.790
      0.071     -1.820      3.160     -1.470     -0.300      6.860     -0.790
      0.071     -1.820      3.160     -1.470     -0.300      6.860     -0.790
      0.071     -1.820      3.160     -1.470     -0.300      6.860     -0.790
      0.071     -1.820      3.160     -1.470     -0.300      6.860     -0.790
      0.071     -1.820      3.160     -1.470     -0.300      6.860     -0.790
      0.071     -1.820      3.160     -1.470     -0.300      6.860     -0.790
      0.071     -1.820      3.160     -1.470     -0.300      6.860     -0.790
      0.071     -1.820      3.160     -1.470     -0.300      6.860     -0.790
      0.071     -1.820      3.160     -1.470     -0.300      6.860     -0.790
      0.071     -1.820      3.160     -1.470     -0.300      6.860     -0.790
      0.071     -1.820      3.160     -1.470     -0.300      6.860     -0.790
      0.071     -1.820      3.160     -1.470     -0.300      6.860     -0.790
      0.071     -1.820      3.160     -1.470     -0.300      6.860     -0.790
      0.071     -1.820      3.160     -1.470     -0.300      6.860     -0.790
      0.071     -1.820      3.160     -1.470     -0.300      6.860     -0.790
      0.071     -1.820      3.160     -1.470     -0.300      6.860     -0.790
      0.071     -1.820      3.160     -1.470     -0.300      6.860     -0.790
      0.071     -1.820      3.160     -1.470     -0.300      6.860     -0.790
      0.071     -1.820      3.160     -1.470     -0.300      6.860     -0.790
      0.071     -1.820      3.160     -1.470     -0.300      6.860     -0.790
      0.071     -1.820      3.160     -1.470     -0.300      6.860     -0.790
      0.071     -1.820      3.160     -1.470     -0.300      6.860     -0.790
      0.071     -1.820      3.160     -1.470     -0.300      6.860     -0.790
      0.071     -1.820      3.160     -1.470     -0.300      6.860     -0.790
      0.071     -1.820      3.160     -1.470     -0.300      6.860     -0.790
      0.071     -1.820      3.160     -1.470     -0.300      6.860     -0.790
      0.071     -1.820      3.160     -1.470     -0.300      6.860     -0.790
      0.071     -1.820      3.160     -1.470     -0.300      6.860     -0.790
      0.071     -1.820      3.160     -1.470     -0.300      6.860     -0.790
      0.071     -1.820      3.160     -1.470     -0.300      6.860     -0.790
      0.071     -1.820      3.160     -1.470     -0.300      6.860     -0.790
      0.071     -1.820      3.160     -1.470     -0.300      6.860     -0.790
      0.071     -1.820      3.160     -1.470     -0.300      6.860     -0.790
      0.071     -1.820      3.160     -1.470     -0.300      6.860     -0.790
      0.071     -1.820      3.160     -1.470     -0.300      6.860     -0.790
      0.071     -1.820      3.160     -1.470     -0.300      6.860     -0.790
      0.071     -1.820      3.160     -1.470     -0.300      6.860     -0.790
      0.071     -1.820      3.160     -1.470     -0.300      6.860     -0.790
      0.071     -1.820      3.160     -1.470     -0.300      6.860     -0.790
      0.071     -1.820      3.160     -1.470     -0.300      6.860     -0.790
      0.071     -1.820      3.160     -1.470     -0.300      6.860     -0.790
      0.071     -1.820      3.160     -1.470     -0.300      6.860     -0.790
      0.071     -1.820      3.160     -1.470     -0.300      6.860     -0.790
      0.071     -1.820      3.160     -1.470     -0.300      6.860     -0.790
      0.071     -1.820      3.160     -1.470     -0.300      6.860     -0.790
      0.071     -1.820      3.160     -1.470     -0.300      6.860     -0.790
      0.071     -1.820      3.160     -1.470     -0.300      6.860     -0.790
      0.071     -1.820      3.160     -1.470     -0.300      6.860     -0.790
      0.071     -1.820      3.160     -1.470     -0.300      6.860     -0.790
      0.071     -1.820      3.160     -1.470     -0.300      6.860     -0.790
      0.071     -1.820      3.160     -1.470     -0.300      6.860     -0.790
      0.071     -1.820      3.160     -1.470     -0.300      6.860     -0.790
      0.071     -1.820      3.160     -1.470     -0.300      6.860     -0.790
      0.071     -1.820      3.160     -1.470     -0.300      6.860     -0.790
      0.071     -1.820      3.160     -1.470     -0.300      6.860     -0.790
      0.071     -1.820      3.160     -1.470     -0.300      6.860     -0.790
      0.071     -1.820      3.160     -1.470     -0.300      6.860     -0.790
      0.071     -1.820      3.160     -1.470     -0.300      6.860     -0.790
      0.071     -1.820      3.160     -1.470     -0.300      6.860     -0.790
      0.071     -1.820      3.160     -1.470     -0.300      6.860     -0.790
      0.071     -1.820      3.160     -1.470     -0.300      6.860     -0.790
      0.071     -1.820      3.160     -1.470     -0.300      6.860     -0.790
      0.071     -1.820      3.160     -1.470     -0.300      6.860     -0.790
      0.071     -1.820      3.160     -1.470     -0.300      6.860     -0.790
      0.071     -1.820      3.160     -1.470     -0.300      6.860     -0.790
      0.071     -1.820      3.160     -1.470     -0.300      6.860     -0.790
      0.071     -1.820      3.160     -1.470     -0.300      6.860     -0.790
      0.071     -1.820      3.160     -1.470     -0.300      6.860     -0.790
      0.071     -1.820      3.160     -1.470     -0.300      6.860     -0.790
      0.071     -1.820      3.160     -1.470     -0.300      6.860     -0.790
      0.071     -1.820      3.160     -1.470     -0.300      6.860     -0.790
      0.071     -1.820      3.160     -1.470     -0.300      6.860     -0.790
      0.071     -1.820      3.160     -1.470     -0.300      6.860     -0.790
      0.071     -1.820      3.160     -1.470     -0.300      6.860     -0.790
      0.071     -1.820      3.160     -1.470     -0.300      6.860     -0.790
      0.071     -1.820      3.160     -1.470     -0.300      6.860     -0.790
      0.071     -1.820      3.160     -1.470     -0.300      6.860     -0.790
      0.071     -1.820      3.160     -1.470     -0.300      6.860     -0.790
      0.071     -1.820      3.160     -1.470     -0.300      6.860     -0.790
      0.071     -1.820      3.160     -1.470     -0.300      6.860     -0.790
      0.071     -1.820      3.160     -1.470     -0.300      6.860     -0.790
      0.071     -1.820      3.160     -1.470     -0.300      6.860     -0.790
      0.071     -1.820      3.160     -1.470     -0.300      6.860     -0.790
      0.071     -1.820      3.160     -1.470     -0.300      6.860     -0.790
      0.071     -1.820      3.160     -1.470     -0.300      6.860     -0.790
      0.071     -1.820      3.160     -1.470     -0.300      6.860     -0.790
      0.071     -1.820      3.160     -1.470     -0.300      6.860     -0.790
      0.071     -1.820      3.160     -1.470     -0.300      6.860     -0.790
      0.071     -1.820      3.160     -1.470     -0.300      6.860     -0.790
      0.071     -1.820      3.160     -1.470     -0.300      6.860     -0.790
      0.071     -1.820      3.160     -1.470     -0.300      6.860     -0.790
      0.071     -1.820      3.160     -1.470     -0.300      6.860     -0.790
      0.071     -1.820      3.160     -1.470     -0.300      6.860     -0.790
      0.071     -1.820      3.160     -1.470     -0.300      6.860     -0.790
      0.071     -1.820      3.160     -1.470     -0.300      6.860     -0.790
      0.071     -1.820      3.160     -1.470     -0.300      6.860     -0.790
      0.071     -1.820      3.160     -1.470     -0.300      6.860     -0.790
      0.071     -1.820      3.160     -1.470     -0.300      6.860     -0.790
      0.071     -1.820      3.160     -1.470     -0.300      6.860     -0.790
      0.071     -1.820      3.160     -1.470     -0.300      6.860     -0.790
      0.071     -1.820      3.160     -1.470     -0.300      6.860     -0.790
      0.071     -1.820      3.160     -1.470     -0.300      6.860     -0.790
      0.071     -1.820      3.160     -1.470     -0.300      6.860     -0.790
      0.071     -1.820      3.160     -1.470     -0.300      6.860     -0.790
